Date, Open, High, Low, Close
02/26/21, 0.038, 0.043, 0.025, 0.035
02/25/21, 0.023, 0.038, 0.018, 0.037
02/24/21, 0.023, 0.035, 0.022, 0.022
02/23/21, 0.025, 0.033, 0.020, 0.022
02/22/21, 0.025, 0.030, 0.015, 0.025
02/19/21, 0.022, 0.035, 0.018, 0.025
02/18/21, 0.028, 0.041, 0.022, 0.022
02/17/21, 0.035, 0.043, 0.028, 0.028
02/16/21, 0.035, 0.043, 0.028, 0.035
02/14/21, 0.033, 0.035, 0.033, 0.035
02/12/21, 0.033, 0.046, 0.025, 0.033
02/11/21, 0.046, 0.051, 0.028, 0.033
02/10/21, 0.038, 0.051, 0.030, 0.045
02/09/21, 0.040, 0.046, 0.028, 0.037
02/08/21, 0.023, 0.048, 0.022, 0.041
02/05/21, 0.025, 0.041, 0.015, 0.022
02/04/21, 0.025, 0.041, 0.015, 0.025
02/03/21, 0.041, 0.053, 0.018, 0.025
02/02/21, 0.053, 0.061, 0.040, 0.040
02/01/21, 0.056, 0.063, 0.041, 0.052
01/29/21, 0.048, 0.073, 0.033, 0.055
01/28/21, 0.043, 0.053, 0.037, 0.048
01/27/21, 0.048, 0.063, 0.037, 0.063
01/26/21, 0.070, 0.081, 0.048, 0.048
01/25/21, 0.068, 0.089, 0.005, 0.070
01/22/21, 0.075, 0.084, 0.048, 0.068
01/21/21, 0.072, 0.079, 0.058, 0.076
01/20/21, 0.070, 0.079, 0.020, 0.072
01/19/21, 0.080, 0.091, 0.065, 0.071
01/17/21, 0.080, 0.081, 0.080, 0.078
01/15/21, 0.075, 0.089, 0.070, 0.080
01/14/21, 0.089, 0.094, 0.075, 0.075
01/13/21, 0.087, 0.101, 0.075, 0.087
01/12/21, 0.094, 0.096, 0.077, 0.093
01/11/21, 0.084, 0.104, 0.048, 0.092
01/08/21, 0.080, 0.094, 0.075, 0.083
01/07/21, 0.087, 0.099, 0.073, 0.080
01/06/21, 0.081, 0.096, 0.071, 0.087
01/05/21, 0.089, 0.091, 0.071, 0.080
01/04/21, 0.053, 0.094, 0.005, 0.087
01/01/21, 0.053, 0.053, 0.052, 0.052
12/31/20, 0.058, 0.086, 0.033, 0.052
12/30/20, 0.087, 0.096, 0.048, 0.058
12/29/20, 0.089, 0.099, 0.083, 0.087
12/28/20, 0.089, 0.099, 0.081, 0.087
12/24/20, 0.083, 0.089, 0.070, 0.087
12/23/20, 0.076, 0.084, 0.063, 0.084
12/22/20, 0.077, 0.086, 0.072, 0.075
12/21/20, 0.076, 0.086, 0.048, 0.077
12/18/20, 0.076, 0.086, 0.068, 0.075
12/17/20, 0.075, 0.091, 0.072, 0.079
12/16/20, 0.070, 0.089, 0.068, 0.075
12/15/20, 0.065, 0.079, 0.065, 0.070
12/14/20, 0.073, 0.086, 0.065, 0.066
12/11/20, 0.065, 0.079, 0.063, 0.072
12/10/20, 0.068, 0.079, 0.063, 0.066
12/09/20, 0.073, 0.084, 0.065, 0.068
12/08/20, 0.077, 0.086, 0.068, 0.072
12/07/20, 0.076, 0.096, 0.068, 0.077
12/04/20, 0.071, 0.094, 0.065, 0.076
12/03/20, 0.079, 0.091, 0.063, 0.071
12/02/20, 0.075, 0.086, 0.065, 0.083
12/01/20, 0.081, 0.094, 0.072, 0.076
11/30/20, 0.089, 0.091, 0.077, 0.080
11/27/20, 0.079, 0.091, 0.061, 0.087
11/25/20, 0.079, 0.081, 0.060, 0.077
11/24/20, 0.084, 0.089, 0.068, 0.077
11/23/20, 0.084, 0.089, 0.056, 0.084
11/20/20, 0.061, 0.089, 0.051, 0.083
11/19/20, 0.068, 0.076, 0.045, 0.060
11/18/20, 0.081, 0.089, 0.063, 0.068
11/17/20, 0.092, 0.096, 0.075, 0.080
11/16/20, 0.091, 0.101, 0.080, 0.092
11/13/20, 0.079, 0.104, 0.077, 0.090
11/12/20, 0.087, 0.104, 0.077, 0.077
11/10/20, 0.091, 0.109, 0.080, 0.087
11/09/20, 0.090, 0.104, 0.077, 0.087
11/06/20, 0.080, 0.099, 0.075, 0.090
11/05/20, 0.085, 0.094, 0.077, 0.080
11/04/20, 0.089, 0.099, 0.077, 0.085
11/03/20, 0.086, 0.096, 0.080, 0.087
11/02/20, 0.084, 0.099, 0.077, 0.085
10/30/20, 0.086, 0.099, 0.077, 0.083
10/29/20, 0.071, 0.089, 0.065, 0.085
10/28/20, 0.079, 0.084, 0.070, 0.073
10/27/20, 0.084, 0.094, 0.075, 0.077
10/26/20, 0.073, 0.091, 0.072, 0.084
10/23/20, 0.084, 0.096, 0.071, 0.073
10/22/20, 0.073, 0.094, 0.072, 0.081
10/21/20, 0.089, 0.094, 0.068, 0.073
10/20/20, 0.091, 0.104, 0.080, 0.089
10/19/20, 0.096, 0.101, 0.086, 0.094
10/16/20, 0.099, 0.104, 0.076, 0.094
10/15/20, 0.101, 0.104, 0.081, 0.091
10/14/20, 0.096, 0.109, 0.089, 0.099
10/13/20, 0.096, 0.117, 0.086, 0.095
10/11/20, 0.094, 0.096, 0.094, 0.096
10/09/20, 0.081, 0.101, 0.068, 0.096
10/08/20, 0.084, 0.106, 0.066, 0.086
10/07/20, 0.089, 0.106, 0.076, 0.079
10/06/20, 0.091, 0.101, 0.073, 0.084
10/05/20, 0.096, 0.101, 0.083, 0.099
10/02/20, 0.091, 0.106, 0.079, 0.089
10/01/20, 0.079, 0.091, 0.073, 0.089
09/30/20, 0.070, 0.091, 0.066, 0.081
09/29/20, 0.086, 0.091, 0.063, 0.071
09/28/20, 0.079, 0.094, 0.076, 0.081
09/25/20, 0.081, 0.094, 0.071, 0.084
09/24/20, 0.079, 0.086, 0.063, 0.076
09/23/20, 0.084, 0.089, 0.072, 0.073
09/22/20, 0.089, 0.094, 0.076, 0.081
09/21/20, 0.084, 0.094, 0.073, 0.089
09/18/20, 0.076, 0.106, 0.073, 0.086
09/17/20, 0.089, 0.096, 0.038, 0.079
09/16/20, 0.096, 0.101, 0.081, 0.083
09/15/20, 0.099, 0.109, 0.090, 0.096
09/14/20, 0.101, 0.106, 0.041, 0.095
09/11/20, 0.099, 0.109, 0.086, 0.101
09/10/20, 0.099, 0.099, 0.086, 0.092
09/09/20, 0.104, 0.104, 0.089, 0.091
09/08/20, 0.094, 0.104, 0.090, 0.091
09/06/20, 0.094, 0.094, 0.094, 0.094
09/04/20, 0.101, 0.109, 0.086, 0.094
09/03/20, 0.096, 0.106, 0.086, 0.089
09/02/20, 0.094, 0.104, 0.079, 0.085
09/01/20, 0.094, 0.106, 0.084, 0.091
08/31/20, 0.086, 0.104, 0.081, 0.087
08/28/20, 0.086, 0.109, 0.068, 0.086
08/27/20, 0.084, 0.091, 0.068, 0.076
08/26/20, 0.094, 0.096, 0.073, 0.079
08/25/20, 0.086, 0.096, 0.075, 0.076
08/24/20, 0.073, 0.096, 0.063, 0.076
08/21/20, 0.086, 0.086, 0.048, 0.073
08/20/20, 0.079, 0.079, 0.061, 0.079
08/19/20, 0.086, 0.091, 0.065, 0.068
08/18/20, 0.089, 0.099, 0.075, 0.084
08/17/20, 0.091, 0.101, 0.084, 0.089
08/14/20, 0.084, 0.101, 0.076, 0.091
08/13/20, 0.084, 0.101, 0.073, 0.089
08/12/20, 0.081, 0.089, 0.068, 0.073
08/11/20, 0.084, 0.091, 0.068, 0.079
08/10/20, 0.084, 0.096, 0.073, 0.084
08/07/20, 0.086, 0.091, 0.073, 0.079
08/06/20, 0.091, 0.094, 0.068, 0.081
08/05/20, 0.094, 0.096, 0.073, 0.084
08/04/20, 0.101, 0.101, 0.071, 0.079
08/03/20, 0.091, 0.101, 0.089, 0.091
07/31/20, 0.094, 0.099, 0.079, 0.090
07/30/20, 0.089, 0.096, 0.083, 0.094
07/29/20, 0.096, 0.104, 0.071, 0.084
07/28/20, 0.096, 0.106, 0.091, 0.101
07/27/20, 0.099, 0.104, 0.084, 0.096
07/24/20, 0.099, 0.104, 0.081, 0.090
07/23/20, 0.099, 0.112, 0.086, 0.092
07/22/20, 0.112, 0.112, 0.089, 0.104
07/21/20, 0.112, 0.119, 0.098, 0.100
07/20/20, 0.106, 0.122, 0.105, 0.112
07/17/20, 0.109, 0.129, 0.101, 0.105
07/16/20, 0.122, 0.137, 0.112, 0.112
07/15/20, 0.119, 0.147, 0.106, 0.117
07/14/20, 0.112, 0.132, 0.106, 0.117
07/13/20, 0.104, 0.137, 0.091, 0.114
07/10/20, 0.117, 0.117, 0.091, 0.099
07/09/20, 0.106, 0.122, 0.101, 0.104
07/08/20, 0.122, 0.127, 0.099, 0.106
07/07/20, 0.129, 0.134, 0.114, 0.120
07/06/20, 0.124, 0.132, 0.104, 0.125
07/02/20, 0.124, 0.139, 0.114, 0.124
07/01/20, 0.134, 0.139, 0.112, 0.114
06/30/20, 0.114, 0.147, 0.114, 0.132
06/29/20, 0.117, 0.134, 0.109, 0.127
06/26/20, 0.119, 0.127, 0.106, 0.119
06/25/20, 0.119, 0.124, 0.104, 0.122
06/24/20, 0.122, 0.134, 0.107, 0.112
06/23/20, 0.134, 0.139, 0.112, 0.122
06/22/20, 0.137, 0.147, 0.117, 0.128
06/19/20, 0.117, 0.142, 0.113, 0.122
06/18/20, 0.132, 0.139, 0.101, 0.114
06/17/20, 0.142, 0.150, 0.117, 0.132
06/16/20, 0.144, 0.152, 0.127, 0.134
06/15/20, 0.134, 0.160, 0.125, 0.142
06/12/20, 0.129, 0.162, 0.119, 0.142
06/11/20, 0.147, 0.147, 0.119, 0.134
06/10/20, 0.150, 0.155, 0.124, 0.134
06/09/20, 0.147, 0.165, 0.134, 0.142
06/08/20, 0.134, 0.155, 0.122, 0.144
06/05/20, 0.127, 0.137, 0.099, 0.132
06/04/20, 0.124, 0.139, 0.114, 0.122
06/03/20, 0.122, 0.139, 0.114, 0.117
06/02/20, 0.134, 0.139, 0.104, 0.127
06/01/20, 0.127, 0.142, 0.113, 0.127
05/29/20, 0.117, 0.142, 0.107, 0.129
05/28/20, 0.112, 0.132, 0.098, 0.119
05/27/20, 0.104, 0.119, 0.091, 0.109
05/26/20, 0.094, 0.122, 0.086, 0.096
05/24/20, 0.094, 0.094, 0.084, 0.093
05/22/20, 0.086, 0.122, 0.073, 0.094
05/21/20, 0.091, 0.096, 0.068, 0.095
05/20/20, 0.096, 0.112, 0.073, 0.076
05/19/20, 0.101, 0.109, 0.081, 0.094
05/18/20, 0.089, 0.109, 0.073, 0.096
05/15/20, 0.089, 0.106, 0.071, 0.086
05/14/20, 0.091, 0.091, 0.071, 0.086
05/13/20, 0.099, 0.112, 0.081, 0.081
05/12/20, 0.109, 0.114, 0.087, 0.096
05/11/20, 0.086, 0.117, 0.086, 0.096
05/08/20, 0.094, 0.106, 0.073, 0.086
05/07/20, 0.081, 0.096, 0.061, 0.096
05/06/20, 0.109, 0.114, 0.063, 0.081
05/05/20, 0.096, 0.119, 0.090, 0.101
05/04/20, 0.099, 0.117, 0.084, 0.096
05/01/20, 0.079, 0.109, 0.076, 0.099
04/30/20, 0.091, 0.096, 0.073, 0.091
04/29/20, 0.086, 0.112, 0.060, 0.086
04/28/20, 0.094, 0.104, 0.063, 0.094
04/27/20, 0.089, 0.117, 0.084, 0.096
04/24/20, 0.101, 0.114, 0.073, 0.089
04/23/20, 0.068, 0.099, 0.068, 0.099
04/22/20, 0.068, 0.096, 0.063, 0.073
04/21/20, 0.101, 0.104, 0.063, 0.075
04/20/20, 0.124, 0.127, 0.081, 0.092
04/17/20, 0.117, 0.142, 0.058, 0.102
04/16/20, 0.150, 0.150, 0.086, 0.120
04/15/20, 0.152, 0.162, 0.125, 0.128
04/14/20, 0.165, 0.190, 0.139, 0.150
04/13/20, 0.200, 0.241, 0.150, 0.190
04/09/20, 0.117, 0.200, 0.085, 0.200
04/08/20, 0.081, 0.127, 0.053, 0.086
04/07/20, 0.086, 0.096, 0.063, 0.063
04/06/20, 0.076, 0.101, 0.056, 0.089
04/03/20, 0.066, 0.104, 0.028, 0.056
04/02/20, 0.041, 0.079, 0.013, 0.077
04/01/20, 0.043, 0.071, 0.015, 0.041
03/31/20, 0.114, 0.114, 0.022, 0.041
03/30/20, -0.020, 0.048, -0.035, 0.038
03/27/20, -0.051, 0.010, -0.137, -0.020
03/26/20, -0.048, -0.037, -0.119, -0.038
03/25/20, 0.010, 0.020, -0.071, -0.061
03/24/20, 0.005, 0.036, -0.018, 0.005
03/23/20, 0.028, 0.028, -0.015, 0.015
03/20/20, 0.025, 0.038, 0.005, 0.028
03/19/20, 0.020, 0.048, -0.013, 0.018
03/18/20, 0.109, 0.109, -0.046, 0.018
03/17/20, 0.249, 0.249, 0.083, 0.091
03/16/20, 0.313, 0.328, 0.125, 0.229
03/13/20, 0.287, 0.361, 0.287, 0.318
03/12/20, 0.473, 0.473, 0.247, 0.295
03/11/20, 0.559, 0.587, 0.405, 0.430
03/10/20, 0.575, 0.613, 0.535, 0.585
03/09/20, 0.771, 0.773, 0.450, 0.590
03/06/20, 0.890, 0.890, 0.725, 0.771
03/05/20, 1.002, 1.012, 0.873, 0.875
03/04/20, 1.104, 1.109, 0.975, 1.002
03/03/20, 1.460, 1.466, 1.071, 1.104
03/02/20, 1.471, 1.471, 1.318, 1.460
02/28/20, 1.540, 1.583, 1.423, 1.471
02/27/20, 1.580, 1.588, 1.486, 1.540
02/26/20, 1.593, 1.606, 1.567, 1.580
02/25/20, 1.598, 1.603, 1.548, 1.565
02/24/20, 1.596, 1.606, 1.558, 1.570
02/21/20, 1.588, 1.606, 1.550, 1.596
02/20/20, 1.601, 1.618, 1.555, 1.588
02/19/20, 1.606, 1.613, 1.588, 1.601
02/18/20, 1.593, 1.613, 1.588, 1.606
02/16/20, 1.593, 1.593, 1.593, 1.593
02/14/20, 1.591, 1.606, 1.575, 1.593
02/13/20, 1.570, 1.593, 1.557, 1.591
02/12/20, 1.575, 1.588, 1.557, 1.570
02/11/20, 1.573, 1.585, 1.557, 1.575
02/10/20, 1.568, 1.578, 1.562, 1.573
02/07/20, 1.552, 1.580, 1.547, 1.568
02/06/20, 1.552, 1.562, 1.539, 1.552
02/05/20, 1.544, 1.555, 1.529, 1.552
02/04/20, 1.560, 1.565, 1.537, 1.544
02/03/20, 1.557, 1.575, 1.552, 1.560
01/31/20, 1.570, 1.578, 1.542, 1.557
01/30/20, 1.527, 1.570, 1.511, 1.570
01/29/20, 1.529, 1.542, 1.509, 1.522
01/28/20, 1.529, 1.540, 1.516, 1.529
01/27/20, 1.532, 1.540, 1.517, 1.529
01/24/20, 1.540, 1.542, 1.524, 1.532
01/23/20, 1.524, 1.540, 1.509, 1.540
01/22/20, 1.516, 1.542, 1.511, 1.524
01/21/20, 1.532, 1.550, 1.514, 1.516
01/20/20, 1.532, 1.532, 1.532, 1.532
01/17/20, 1.509, 1.550, 1.506, 1.532
